Code plate-forme;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
01903-1;0087396291;;Montfort-le-Gesnois;72450;241;Montfort-le-Gesnois;72;Sarthe;0.4064237;48.0405657;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""MLG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montfort-le-Gesnois"", ""Alias_Libelle_Fronton"": ""Montfort-le-Gesnois"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""PONT DE GENNES MONTFORT P GARE""}";Montfort-le-Gesnois;Montfort-le-Gesnois;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;PONT DE GENNES MONTFORT P GARE;1;MLG;48.0405657,0.4064237
01914-1;0087396044;;Montbizot;72380;205;Montbizot;72;Sarthe;0.1908607;48.151513;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""MBZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montbizot"", ""Alias_Libelle_Fronton"": ""Montbizot"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""MONTBIZOT GARE""}";Montbizot;Montbizot;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;MONTBIZOT GARE;1;MBZ;48.151513,0.1908607
01915-1;0087396036;;La Guierche;72380;147;Guierche;72;Sarthe;0.1931016;48.1138773;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""GUH""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Guierche"", ""Alias_Libelle_Fronton"": ""La Guierche"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA GUIERCHE GARE""}";La Guierche;La Guierche;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA GUIERCHE GARE;1;GUH;48.1138773,0.1931016
02102-1;0087354597;;Saint-Sébastien Frêne Rond;44230;190;Saint-Sébastien-sur-Loire;44;Loire-Atlantique;-1.4957437;47.1903914;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""XTD""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Sébastien Frêne Rond"", ""Alias_Libelle_Fronton"": ""Saint-Sébastien Frêne Rond"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE FRENE ROND HALTE""}";Saint-Sébastien Frêne Rond;Saint-Sébastien Frêne Rond;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE FRENE ROND HALTE;1;XTD;47.1903914,-1.4957437
01206-1;0087590364;;La Chapelle - Aulnay;44240;035;Chapelle-sur-Erdre;44;Loire-Atlantique;-1.5414844;47.3087224;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CVM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Chapelle - Aulnay"", ""Alias_Libelle_Fronton"": ""La Chapelle - Aulnay"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": null}";La Chapelle - Aulnay;La Chapelle - Aulnay;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;;1;CVM;47.3087224,-1.5414844
01532-1;0087487314;;Pouzauges;85700;182;Pouzauges;85;Vendée;-0.8146784;46.7523536;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""PZK""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Pouzauges"", ""Alias_Libelle_Fronton"": ""Pouzauges"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""POUZAUGES GARE""}";Pouzauges;Pouzauges;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;POUZAUGES GARE;1;PZK;46.7523536,-0.8146784
01540-1;0087486431;;Olonne-sur-Mer;85340;166;Olonne-sur-Mer;85;Vendée;-1.76738;46.5486605;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""OSM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Olonne-sur-Mer"", ""Alias_Libelle_Fronton"": ""Olonne-sur-Mer"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""OLONNE SUR MER GARE""}";Olonne-sur-Mer;Olonne-sur-Mer;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;OLONNE SUR MER GARE;1;OSM;46.5486605,-1.76738
01543-1;0087486332;;Chantonnay;85110;051;Chantonnay;85;Vendée;-1.0544144;46.6898472;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CTO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Chantonnay"", ""Alias_Libelle_Fronton"": ""Chantonnay"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""CHANTONNAY GARE""}";Chantonnay;Chantonnay;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;CHANTONNAY GARE;1;CTO;46.6898472,-1.0544144
01545-1;0087486316;;Fougeré;85480;093;Fougeré;85;Vendée;-1.2319718;46.6653044;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""FUE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fougeré"", ""Alias_Libelle_Fronton"": ""Fougeré"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""FOUGERE GARE""}";Fougeré;Fougeré;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;FOUGERE GARE;1;FUE;46.6653044,-1.2319718
01577-1;0087484303;;Cholet;49280;099;Cholet;49;Maine-et-Loire;-0.869583;47.065698;b;2;Gare Cholet;"[{""TVS_Code"": ""CHT""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cholet"", ""Alias_Libelle_Fronton"": ""Cholet"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""CHOLET GARE""}";Cholet;Cholet;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;CHOLET GARE;1;CHT;47.065698,-0.869583
