Code plate-forme;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
01896-1;0087396374;;Noyen-sur-Sarthe;72430;223;Noyen-sur-Sarthe;72;Sarthe;-0.0981755;47.8744544;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""NON""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Noyen-sur-Sarthe"", ""Alias_Libelle_Fronton"": ""Noyen"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""NOYEN GARE""}";Noyen-sur-Sarthe;Noyen;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;NOYEN GARE;1;NON;47.8744544,-0.0981755
01909-1;0087396218;;Conlie;72240;089;Conlie;72;Sarthe;-0.0113736;48.1272909;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CIE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Conlie"", ""Alias_Libelle_Fronton"": ""Conlie"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""CONLIE GARE""}";Conlie;Conlie;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;CONLIE GARE;1;CIE;48.1272909,-0.0113736
01913-1;0087396051;;Teillé;72290;349;Teillé;72;Sarthe;0.1913397;48.1812341;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""TEI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Teillé"", ""Alias_Libelle_Fronton"": ""Teillé"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""TEILLE (SARTHE) GARE""}";Teillé;Teillé;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;TEILLE (SARTHE) GARE;1;TEI;48.1812341,0.1913397
01916-1;0087396028;;Neuville-sur-Sarthe;72190;217;Neuville-sur-Sarthe;72;Sarthe;0.1997294;48.0705577;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""NER""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Neuville-sur-Sarthe"", ""Alias_Libelle_Fronton"": ""Neuville"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""NEUVILLE SUR SARTHE GARE""}";Neuville-sur-Sarthe;Neuville;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;NEUVILLE SUR SARTHE GARE;1;NER;48.0705577,0.1997294
01917-1;0087396002;;Le Mans;72000;181;Mans;72;Sarthe;0.192578;47.995689;a;3;GARE LE MANS;"[{""TVS_Code"": ""LEN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Mans"", ""Alias_Libelle_Fronton"": ""Le Mans"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE MANS GARE""}";Le Mans;Le Mans;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE MANS GARE;1;LEN;47.995689,0.192578
02103-1;0087354589;;Saint-Sébastien Pas Enchantés;44230;190;Saint-Sébastien-sur-Loire;44;Loire-Atlantique;-1.5109069;47.2069513;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""XTX""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Sébastien Pas Enchantés"", ""Alias_Libelle_Fronton"": ""Saint-Sébastien Pas Enchantés"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LES PAS ENCHANTES HALTE""}";Saint-Sébastien Pas Enchantés;Saint-Sébastien Pas Enchantés;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LES PAS ENCHANTES HALTE;1;XTX;47.2069513,-1.5109069
01208-1;0087590349;;Babinière;44240;035;Chapelle-sur-Erdre;44;Loire-Atlantique;-1.5452842;47.2591762;b;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""BBQ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Babinière"", ""Alias_Libelle_Fronton"": ""Babinière"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": null}";Babinière;Babinière;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;;1;BBQ;47.2591762,-1.5452842
01531-1;0087487603;;Saumur;49400;328;Saumur;49;Maine-et-Loire;-0.07136;47.26900;b;2;GARE SAUMUR;"[{""TVS_Code"": ""SUD""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saumur"", ""Alias_Libelle_Fronton"": ""Saumur"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""SAUMUR RIVE DROITE GARE""}";Saumur;Saumur;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;SAUMUR RIVE DROITE GARE;1;SUD;47.269,-0.07136
01546-1;0087486308;;La Chaize-le-Vicomte;85310;046;Chaize-le-Vicomte;85;Vendée;-1.2820678;46.676779;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CZC""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Chaize-le-Vicomte"", ""Alias_Libelle_Fronton"": ""La Chaize-le-Vicomte"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA CHAIZE LE VICOMTE GARE""}";La Chaize-le-Vicomte;La Chaize-le-Vicomte;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA CHAIZE LE VICOMTE GARE;1;CZC;46.676779,-1.2820678
01547-1;0087486258;;Luçon;85400;128;Luçon;85;Vendée;-1.1674217;46.4638232;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""LRK""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Luçon"", ""Alias_Libelle_Fronton"": ""Luçon"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LUCON GARE""}";Luçon;Luçon;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LUCON GARE;1;LRK;46.4638232,-1.1674217
01548-1;0087486142;;Belleville-sur-Vie;85170;019;Bellevigny;85;Vendée;-1.4346673;46.788316;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""BVD""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Belleville-sur-Vie"", ""Alias_Libelle_Fronton"": ""Belleville-sur-Vie"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""BELLEVILLE VENDEE GARE""}";Belleville-sur-Vie;Belleville-sur-Vie;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;BELLEVILLE VENDEE GARE;1;BVD;46.788316,-1.4346673
01549-1;0087486126;;L'Herbergement - Les Brouzils;85260;108;Herbergement;85;Vendée;-1.3712431;46.9069172;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""LHB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""L'Herbergement - Les Brouzils"", ""Alias_Libelle_Fronton"": ""L'Herbergement - Les Brouzils"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""L HERBERGEMENT LES BROUZILS GARE""}";L'Herbergement - Les Brouzils;L'Herbergement - Les Brouzils;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;L HERBERGEMENT LES BROUZILS GARE;1;LHB;46.9069172,-1.3712431
01550-1;0087486019;;La Roche-sur-Yon;85000;191;Roche-sur-Yon;85;Vendée;-1.435621;46.672120;b;2;GARE LA ROCHE SUR YON;"[{""TVS_Code"": ""LRY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Roche-sur-Yon"", ""Alias_Libelle_Fronton"": ""La Roche-sur-Yon"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA ROCHE SUR YON GARE""}";La Roche-sur-Yon;La Roche-sur-Yon;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA ROCHE SUR YON GARE;1;LRY;46.67212,-1.435621
01572-1;0087484386;;Varades - Saint-Florent le Vieil;44370;213;Loireauxence;44;Loire-Atlantique;-1.019712;47.3744471;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""VDE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Varades - Saint-Florent le Vieil"", ""Alias_Libelle_Fronton"": ""Varades - Saint-Florent-le-Vieil"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""VARADES GARE""}";Varades - Saint-Florent le Vieil;Varades - Saint-Florent-le-Vieil;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;VARADES GARE;1;VDE;47.3744471,-1.019712
01581-1;0087484154;;Étriché - Châteauneuf;49330;132;Étriché;49;Maine-et-Loire;-0.4608993;47.6567082;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""EEF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Étriché - Châteauneuf"", ""Alias_Libelle_Fronton"": ""Étriché - Châteauneuf"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""ETRICHE CHATEAUNEUF GARE""}";Étriché - Châteauneuf;Étriché - Châteauneuf;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;ETRICHE CHATEAUNEUF GARE;1;EEF;47.6567082,-0.4608993
01582-1;0087484147;;Tiercé;49125;347;Tiercé;49;Maine-et-Loire;-0.469347;47.617532;b;1;Gare Tiercé;"[{""TVS_Code"": ""TCE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Tiercé"", ""Alias_Libelle_Fronton"": ""Tiercé"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""TIERCE GARE""}";Tiercé;Tiercé;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;TIERCE GARE;1;TCE;47.617532,-0.469347
01584-1;0087484113;;Écouflant;49000;129;Écouflant;49;Maine-et-Loire;-0.5194782;47.5039036;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""ECT""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Écouflant"", ""Alias_Libelle_Fronton"": ""Écouflant"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""ECOUFLANT GARE""}";Écouflant;Écouflant;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;ECOUFLANT GARE;1;ECT;47.5039036,-0.5194782
01586-1;0087484006;;Angers Saint-Laud;49100;007;Angers;49;Maine-et-Loire;-0.556820;47.464647;a;3;GARE ANGERS ST LAUD;"[{""TVS_Code"": ""ASL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Angers Saint-Laud"", ""Alias_Libelle_Fronton"": ""Angers Saint-Laud"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""ANGERS ST LAUD GARE""}";Angers Saint-Laud;Angers Saint-Laud;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;ANGERS ST LAUD GARE;1;ASL;47.464647,-0.55682
01587-1;0087481846;;Pontchâteau;44160;129;Pontchâteau;44;Loire-Atlantique;-2.088201;47.435399;b;1;Gare Pontchâteau;"[{""TVS_Code"": ""PCU""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Pontchâteau"", ""Alias_Libelle_Fronton"": ""Pontchâteau"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""PONT CHATEAU GARE""}";Pontchâteau;Pontchâteau;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;PONT CHATEAU GARE;1;PCU;47.435399,-2.088201
01588-1;0087481838;;Savenay;44260;195;Savenay;44;Loire-Atlantique;-1.950957;47.358590;b;2;Gare Savenay;"[{""TVS_Code"": ""SNY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Savenay"", ""Alias_Libelle_Fronton"": ""Savenay"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""SAVENAY GARE""}";Savenay;Savenay;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;SAVENAY GARE;1;SNY;47.35859,-1.950957
01589-1;0087481820;;Cordemais;44360;045;Cordemais;44;Loire-Atlantique;-1.8466771;47.3021502;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CDQ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cordemais"", ""Alias_Libelle_Fronton"": ""Cordemais"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""CORDEMAIS GARE""}";Cordemais;Cordemais;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;CORDEMAIS GARE;1;CDQ;47.3021502,-1.8466771
01591-1;0087481804;;Couëron;44220;047;Couëron;44;Loire-Atlantique;-1.7235014;47.2220412;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CNQ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Couëron"", ""Alias_Libelle_Fronton"": ""Couëron"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""COUERON GARE""}";Couëron;Couëron;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;COUERON GARE;1;CNQ;47.2220412,-1.7235014
01594-1;0087481762;;Le Pouliguen;44510;135;Pouliguen;44;Loire-Atlantique;-2.4331446;47.2825404;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""LIG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Pouliguen"", ""Alias_Libelle_Fronton"": ""Le Pouliguen"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE POULIGUEN GARE""}";Le Pouliguen;Le Pouliguen;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE POULIGUEN GARE;1;LIG;47.2825404,-2.4331446
01596-1;0087481747;;Pornichet;44380;132;Pornichet;44;Loire-Atlantique;-2.3445765;47.2705354;b;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""PNI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Pornichet"", ""Alias_Libelle_Fronton"": ""Pornichet"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""PORNICHET GARE""}";Pornichet;Pornichet;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;PORNICHET GARE;1;PNI;47.2705354,-2.3445765
01597-1;0087481721;;Donges;44480;052;Donges;44;Loire-Atlantique;-2.0719096;47.3086552;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""DGS""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Donges"", ""Alias_Libelle_Fronton"": ""Donges"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""DONGES GARE""}";Donges;Donges;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;DONGES GARE;1;DGS;47.3086552,-2.0719096
01607-1;0087481564;;La Chapelle-sur-Erdre;44240;035;Chapelle-sur-Erdre;44;Loire-Atlantique;-1.548012;47.2972029;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""EIF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Chapelle-sur-Erdre"", ""Alias_Libelle_Fronton"": ""La Chapelle Centre"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": null}";La Chapelle-sur-Erdre;La Chapelle Centre;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;;1;EIF;47.2972029,-1.548012
01618-1;0087481267;;La Bernerie-en-Retz;44760;012;Bernerie-en-Retz;44;Loire-Atlantique;-2.0341408;47.0832616;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""BNX""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Bernerie-en-Retz"", ""Alias_Libelle_Fronton"": ""La Bernerie-en-Retz"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LA BERNERIE GARE""}";La Bernerie-en-Retz;La Bernerie-en-Retz;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LA BERNERIE GARE;1;BNX;47.0832616,-2.0341408
01628-1;0087481168;;Le Cellier;44850;028;Cellier;44;Loire-Atlantique;-1.3506694;47.3135164;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""LEI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Cellier"", ""Alias_Libelle_Fronton"": ""Le Cellier"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LE CELLIER GARE""}";Le Cellier;Le Cellier;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LE CELLIER GARE;1;LEI;47.3135164,-1.3506694
01630-1;0087481143;;Thouaré-sur-Loire;44470;204;Thouaré-sur-Loire;44;Loire-Atlantique;-1.4409626;47.2651143;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""THE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Thouaré-sur-Loire"", ""Alias_Libelle_Fronton"": ""Thouaré"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""THOUARE GARE""}";Thouaré-sur-Loire;Thouaré;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;THOUARE GARE;1;THE;47.2651143,-1.4409626
01632-1;0087481051;;Chantenay;44000;109;Nantes;44;Loire-Atlantique;-1.5943634;47.1971227;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""CHA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Chantenay"", ""Alias_Libelle_Fronton"": ""Chantenay"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""CHANTENAY GARE""}";Chantenay;Chantenay;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;CHANTENAY GARE;1;CHA;47.1971227,-1.5943634
01642-1;0087478511;;Louverné;53950;140;Louverné;53;Mayenne;-0.7144109;48.1088564;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""LVX""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Louverné"", ""Alias_Libelle_Fronton"": ""Louverné"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LOUVERNE GARE""}";Louverné;Louverné;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LOUVERNE GARE;1;LVX;48.1088564,-0.7144109
01643-1;0087478404;;Laval;53000;130;Laval;53;Mayenne;-0.760907;48.076206;a;2;GARE LAVAL;"[{""TVS_Code"": ""LAL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Laval"", ""Alias_Libelle_Fronton"": ""Laval"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""LAVAL GARE""}";Laval;Laval;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;LAVAL GARE;1;LAL;48.076206,-0.760907
01663-1;0087476754;;Sévérac;44530;196;Sévérac;44;Loire-Atlantique;-2.072707;47.5498647;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""SVG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Sévérac"", ""Alias_Libelle_Fronton"": ""Sévérac"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""SEVERAC GARE""}";Sévérac;Sévérac;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;SEVERAC GARE;1;SVG;47.5498647,-2.072707
01891-1;0087396572;;Aubigné-Racan;72800;013;Aubigné-Racan;72;Sarthe;0.2657714;47.686945;c;1;GARES C PAYS DE LA LOIRE;"[{""TVS_Code"": ""ABG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Aubigné-Racan"", ""Alias_Libelle_Fronton"": ""Aubigné-Racan"", ""AgenceGC_Libelle"": ""DTG Centre Ouest"", ""RegionSNCF_Libelle"": ""REGION PAYS DE LA LOIRE"", ""UG_Libelle"": ""UG Pays de la Loire"", ""UT_Libelle"": ""AUBIGNE RACAN GARE""}";Aubigné-Racan;Aubigné-Racan;True;False;DTG Centre Ouest;REGION PAYS DE LA LOIRE;UG Pays de la Loire;AUBIGNE RACAN GARE;1;ABG;47.686945,0.2657714
