Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0441089V;Ecole primaire privée Notre-Dame de Lourdes;ECOLE PRIMAIRE PRIVEE;NOTRE-DAME DE LOURDES;Privé;3 rue de la Croix;;;44140;LE BIGNON;Le Bignon;359554.5;6676251.6;EPSG:2154;47.09936566420949;-1.4910194318044545;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44014;Loire-Atlantique;Pays de la Loire;Nantes;47.0993656642,-1.4910194318;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-10
0441102J;Ecole primaire privée Sainte Anne;ECOLE PRIMAIRE PRIVEE;STE ANNE;Privé;26 rue du Calvaire;;;44410;ASSERAC;Assérac;294239.6;6717031.4;EPSG:2154;47.429019916741716;-2.3868296989341697;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44006;Loire-Atlantique;Pays de la Loire;Nantes;47.4290199167,-2.38682969893;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-09
0441178S;Ecole primaire privée Saint Joseph;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;Privé;Rue Sainte-Marguerite;;;44522;MESANGER;Mésanger;381212.1;6712144.2;EPSG:2154;47.432759849473044;-1.231230329391527;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44096;Loire-Atlantique;Pays de la Loire;Nantes;47.4327598495,-1.23123032939;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-15
0441187B;Ecole primaire privée Saint Léger;ECOLE PRIMAIRE PRIVEE;ST LEGER;Privé;14 rue Isaïe Rabu;;;44170;MARSAC SUR DON;Marsac-sur-Don;348473.9;6732292.4;EPSG:2154;47.59721539571978;-1.6806270367321532;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44091;Loire-Atlantique;Pays de la Loire;Nantes;47.5972153957,-1.68062703673;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-12
0441206X;Ecole primaire privée Sainte Marie;ECOLE PRIMAIRE PRIVEE;STE MARIE;Privé;15 rue des Moulins;;;44430;LE LANDREAU;Le Landreau;374092.1;6687249.8;EPSG:2154;47.20551604450978;-1.307540008990625;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44079;Loire-Atlantique;Pays de la Loire;Nantes;47.2055160445,-1.30754000899;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-12
0441244N;Ecole primaire privée Saint Joseph;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;Privé;21 rue du Plessis Guerry;;;44330;LE PALLET;Le Pallet;371435.6;6679761.2;EPSG:2154;47.13688975231883;-1.3371496941067484;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44117;Loire-Atlantique;Pays de la Loire;Nantes;47.1368897523,-1.33714969411;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-15
0441259E;Ecole primaire privée Saint Joseph;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;Privé;26 rue de l'Evêché;;;44330;MOUZILLON;Mouzillon;375428.9;6680011.1;EPSG:2154;47.14109803001362;-1.2847197894487088;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44108;Loire-Atlantique;Pays de la Loire;Nantes;47.14109803,-1.28471978945;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-15
0441260F;Ecole primaire privée Notre-Dame;ECOLE PRIMAIRE PRIVEE;NOTRE-DAME;Privé;2 rue de la Prée;;;44850;MOUZEIL;Mouzeil;372488.8;6714236.3;EPSG:2154;47.44730088574952;-1.3483104046066647;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44107;Loire-Atlantique;Pays de la Loire;Nantes;47.4473008857,-1.34831040461;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-15
0441277Z;Ecole primaire privée;ECOLE PRIMAIRE PRIVEE;ECOLE PRIVEE STE LAURA MONTOYA;Privé;9 rue de la Gaudinais;;;44110;ST AUBIN DES CHATEAUX;Saint-Aubin-des-Châteaux;363820.6;6745046.0;EPSG:2154;47.71982947995123;-1.4863697544180123;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44153;Loire-Atlantique;Pays de la Loire;Nantes;47.71982948,-1.48636975442;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
0441292R;Ecole primaire privée Sainte Marie;ECOLE PRIMAIRE PRIVEE;STE MARIE;Privé;221 rue des Marronniers;;;44522;LA ROCHE BLANCHE;La Roche-Blanche;387917.8;6712516.6;EPSG:2154;47.4393066908794;-1.1426504911479398;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44222;Loire-Atlantique;Pays de la Loire;Nantes;47.4393066909,-1.14265049115;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-16
